Run Id	L4C5		Run Id	L5C3		Run Id	L6C3		Run Id			
Device	3975f2-cap		Device	3975f5-cap		Device	3975f8-cap		Device	Ref GaAs		
Curve	Illuminated IV1		Curve	Illuminated IV17		Curve	Illuminated IV17		Curve	Illuminated IV1		
Size [cm2]	0.0483		Size [cm2]	0.0483		Size [cm2]	0.0483		Size [cm2]	4		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	GaAs		Material	GaAs		Material	GaAs		Material	GaAs		
Date	03/02/2020		Date	03/02/2020		Date	03/02/2020		Date	03/02/2020		
Time	16:17:46		Time	17:40:59		Time	18:02:24		Time	16:11:00		
Temperature Corrected	yes		Temperature Corrected	yes		Temperature Corrected	yes		Temperature Corrected	yes		
Irradiance [W/m2]	998.034634146342		Irradiance [W/m2]	998.034634146342		Irradiance [W/m2]	998.034634146342		Irradiance [W/m2]	998.034634146342		
Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
0.2196919	0.000881294437874162	0.000193613249516007	0.21970052	0.00084660354774434	0.000185999239673276	0.21667926	0.000827402405591886	0.00017928094096587	0.105447808	0.102575882159825	0.0108164019274198	
0.22712092	0.000881305757874162	0.000200162974529677	0.2271305	0.00084656264774434	0.000192280197463496	0.22404686	0.000827251685591887	0.000185343142586569	0.11006102	0.102555102159825	0.0112873191499145	
0.2345569	0.000881370057874162	0.000206731428527784	0.23456808	0.00084669624774434	0.000198607913176594	0.23141594	0.000827241765591886	0.000191436930791706	0.11467484	0.102539082159825	0.0117586528404248	
0.2419925	0.000881451817874162	0.000213304729036913	0.24200526	0.00084666486774434	0.000204897351451335	0.2387785	0.000827315005591886	0.000197545036062722	0.11930336	0.102509522159825	0.0122297304256616	
0.24943478	0.000881649017874162	0.000219913928810658	0.24944882	0.00084672112774434	0.000211213586184895	0.24614034	0.000827507465591886	0.000203682968933325	0.12390694	0.102502662159825	0.0127007912100777	
0.2568641	0.000881770957874162	0.000226495303500485	0.25687862	0.00084674952774434	0.000217511850172618	0.25350862	0.000827487845591886	0.000209775301802772	0.12851562	0.102477882159825	0.0131700085620568	
0.26430062	0.000881717397874162	0.000233038454922928	0.2643169	0.00084664178774434	0.000223781732747042	0.26087122	0.000827381565591886	0.000215840038421465	0.13312668	0.102489142159825	0.0136440392317855	
0.2717443	0.000881613237874162	0.000239573372196848	0.27176076	0.00084652318774434	0.000230051784859025	0.26823382	0.000827145485591886	0.000221868393296067	0.13768982	0.102509162159825	0.0141144680861371	
0.2791742	0.000881383637874162	0.000246059571996609	0.27919074	0.00084646232774434	0.000236324443665065	0.2756021	0.000826768485591886	0.000227859130842944	0.14228996	0.102536822159825	0.0145899603236486	
0.28660484	0.000881304897874162	0.000252586249246441	0.28662092	0.00084647736774434	0.000242618121902061	0.28296986	0.000826375885591886	0.000233839468653312	0.1469315	0.102548062159825	0.0150675405952363	
0.29404856	0.000881178517874162	0.000259109274283832	0.29406348	0.00084654386774434	0.00024893763572156	0.29033088	0.000825810205591886	0.000239758203702473	0.1515306	0.102569802159825	0.0155424636631596	
0.30149252	0.000881063637874162	0.000265634096463049	0.30150562	0.00084656718774434	0.000255244764812514	0.29769798	0.000825924945591886	0.000245876187934315	0.15612406	0.102564062159825	0.0160127177944842	
0.30892254	0.000880942597874162	0.000272143024929485	0.30893416	0.00084652956774434	0.000261521900926261	0.30506464	0.000825996645591886	0.000251982369328696	0.16070152	0.102556822159825	0.0164810372074535	
0.31636624	0.000881084657874162	0.000278745440333335	0.31637606	0.00084660638774434	0.000267845993325387	0.31242456	0.000826332485591886	0.000258166563224751	0.16524478	0.102559482159825	0.0169474190664142	
0.32380924	0.000881111337874162	0.000285311992672416	0.32381792	0.00084657192774434	0.000274135160772563	0.31979192	0.000826638285591886	0.000264352244494938	0.16981598	0.102565582159825	0.0174172748487412	
